  Час    Тривалість
          обробки
         запиту (мс)
12:00:00     224.84
12:00:15     193.09
12:00:30     232.38
12:00:45     276.15
12:01:00     188.29
12:01:15     188.29
12:01:30     278.96
12:01:45     238.37
12:02:00     176.53
12:02:15     227.13
12:02:30     176.83
12:02:45     176.71
12:03:00       212.1
12:03:15     104.34
12:03:30     113.75
12:03:45     171.89
12:04:00     149.36
12:04:15     215.71
12:04:30       154.6
12:04:45     129.38
12:05:00
12:05:15     188.71
12:05:30     203.38
12:05:45     128.76
12:06:00     172.78
12:06:15     205.55
12:06:30     142.45
12:06:45     218.78
12:07:00     169.97
12:07:15     185.42
12:07:30     169.91
12:07:45     292.61
12:08:00     199.33
12:08:15     147.11
12:08:30     241.13
12:08:45     138.96
12:09:00     210.44
12:09:15     102.02
12:09:30     133.59
12:09:45     209.84
12:10:00     236.92
12:10:15     208.57
12:10:30     194.22
12:10:45     184.94
12:11:00     126.07
12:11:15     164.01
12:11:30     176.97
12:11:45     252.86
12:12:00     217.18
12:12:15     111.85
12:12:30         350
12:12:45     180.75
12:13:00     166.15
12:13:15     230.58
12:13:30     251.55
12:13:45     246.56
12:14:00     158.04
12:14:15     184.54
12:14:30     216.56
12:14:45     248.78
12:15:00     176.04
12:15:15     190.72
12:15:30     144.68
12:15:45     140.19
12:16:00     240.63
12:16:15     267.81
12:16:30       196.4
12:16:45   250.18
12:17:00   218.08
12:17:15   167.74
12:17:30   218.07
12:17:45    276.9
12:18:00   198.21
12:18:15   278.23
12:18:30    69.01
12:18:45    241.1
12:19:00   204.35
12:19:15   185.05
12:19:30   204.59
12:19:45   100.62
12:20:00   189.02
12:20:15   217.86
12:20:30   273.89
12:20:45   174.09
12:21:00   159.58
12:21:15   174.91
12:21:30   245.77
12:21:45   216.44
12:22:00   173.51
12:22:15   225.66
12:22:30   204.85
12:22:45   248.43
12:23:00    164.9
12:23:15   183.62
12:23:30   180.39
12:23:45   126.82
12:24:00   214.81
12:24:15   213.05
12:24:30   200.26
12:24:45   188.27
12:25:00
12:25:15   178.97
12:25:30   182.86
12:25:45   159.89
12:26:00   191.94
12:26:15    220.2
12:26:30   294.31
12:26:45   208.73
12:27:00   212.88
12:27:15   196.28
12:27:30   104.06
12:27:45   198.67
12:28:00   203.01
12:28:15   323.16
12:28:30   190.38
12:28:45   215.08
12:29:00   198.26
12:29:15   141.57
12:29:30   257.14
12:29:45    237.6
12:30:00   239.55
12:30:15   154.53
12:30:30   270.14
12:30:45   129.91
12:31:00   229.34
12:31:15   309.52
12:31:30   150.47
12:31:45   171.69
12:32:00   204.98
12:32:15   174.83
12:32:30   122.47
12:32:45   203.43
12:33:00   146.88
12:33:15   223.68
12:33:30   154.03
12:33:45    277.5
12:34:00   160.84
12:34:15    183.9
12:34:30   240.68
12:34:45   138.46
12:35:00   211.37
12:35:15   265.36
12:35:30   119.63
12:35:45   209.23
12:36:00   212.99
12:36:15   239.09
12:36:30   138.15
12:36:45   133.98
12:37:00    226.1
12:37:15   214.85
12:37:30   212.52
12:37:45   217.32
12:38:00      166
12:38:15   211.61
12:38:30   214.65
12:38:45   164.28
12:39:00   293.29
12:39:15   223.69
12:39:30   140.43
12:39:45   232.83
12:40:00   151.27
12:40:15   239.35
12:40:30   257.93
12:40:45   158.97
12:41:00   248.17
12:41:15   220.64
12:41:30    241.1
12:41:45   294.84
12:42:00   187.73
12:42:15   162.31
12:42:30   155.52
12:42:45   159.21
12:43:00   196.14
12:43:15   217.06
12:43:30   213.83
12:43:45   241.36
12:44:00   200.65
12:44:15   272.68
12:44:30   186.77
12:44:45   336.01
12:45:00       90
12:45:15   157.14
12:45:30   146.46
12:45:45   224.12
12:46:00   188.83
12:46:15    235.7
12:46:30   223.66
12:46:45   196.36
12:47:00   157.66
12:47:15   124.26
12:47:30   177.67
12:47:45   242.82
12:48:00    210.7
12:48:15   137.71
12:48:30   208.66
12:48:45   219.27
12:49:00   155.81
12:49:15   207.69
12:49:30   202.91
12:49:45   142.85
12:50:00   217.89
12:50:15   228.04
12:50:30   254.15
12:50:45   252.69
12:51:00   131.12
12:51:15   153.11
12:51:30   225.75
12:51:45   225.69

12:52:00   225.75
12:52:15   392.64
12:52:30   228.54
12:52:45   256.78
12:53:00    247.7
12:53:15   232.57
12:53:30   184.24
12:53:45   237.95
12:54:00   161.36
12:54:15   188.16
12:54:30   175.73
12:54:45   204.09
12:55:00   315.73
12:55:15   106.64
12:55:30   234.31
12:55:45   119.36
12:56:00    176.4
12:56:15   254.45
12:56:30   203.21
12:56:45   146.11
12:57:00   164.23
12:57:15   233.98
12:57:30   163.48
12:57:45   210.82
12:58:00   202.28
12:58:15   167.42
12:58:30    307.2
12:58:45    231.7
12:59:00    98.74
12:59:15   209.32
12:59:30   166.91
12:59:45   242.62

